기준년도,기준월,행정동_코드,행정동_코드_명,소득_총금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,교육_지출_총금액,유흥_지출_총금액,여가_문화_지출_총금액,기타_지출_총금액,음식_지출_총금액
2018,10,11290770,장위2동,2328014,5,733867000,264826000,22856000,44686000,59269667,106125333,23786000,17347333,63908333,17886667,113175667
2018,10,11620685,신사동,2606098,6,956877333,339821000,10139333,16694000,176075667,25663000,31623000,55795000,49216000,27107333,224743000
2018,10,11305545,송중동,2654339,6,2716595667,347265333,126189000,224407000,520481000,72656667,34420667,235957333,178213333,69650333,907355000
2018,10,11305600,번2동,2366618,5,225095667,34871000,103333,4437667,48978667,48577333,7525000,6749333,30571333,3569000,39713000
2018,10,11680640,역삼1동,3747340,8,252436566667,2268390667,1003579333,415320000,8327467333,160101667,1506046667,1292485000,200917395333,29861786333,6683994333
2018,10,11650610,방배2동,3899940,8,33001897333,272581333,56870000,13409333,103853667,133991333,145509000,152091000,30830918333,76724000,1215949333
2018,10,11620630,남현동,3414508,7,1537659333,534553667,8349000,4820333,112984333,35729667,34495667,103617333,163636667,48255000,491217667
2018,10,11620545,청림동,3918837,8,438413333,266361667,6050667,154000,11617333,7311000,46263667,8412667,22178667,11125000,58938667
2018,10,11590640,사당3동,3954608,8,824070000,339147333,9736000,5646000,37184000,2664667,94515333,10849000,43600667,26945667,253781333
2018,10,11590620,사당1동,3020606,7,2273565667,277633667,78394000,38035333,447361333,97136000,69129667,117291333,164872333,123620333,860091667
2018,10,11590520,노량진2동,2461079,6,1304716000,519371333,9184667,9172000,54429000,2322000,102382667,43921000,72383333,57874000,433676000
2018,10,11560550,당산1동,3659808,7,1484812000,379623667,26272333,27131333,161405333,54932667,38987333,106369333,136226667,45523667,508339667
2018,10,11560540,여의동,5911126,9,23478848000,1069847000,226869667,131665333,825435000,2383150667,222358333,246885333,4678586000,10542269667,3151781000
2018,10,11530790,수궁동,2794550,6,719765667,121779667,8950000,2417333,47928667,230851000,142327000,18540667,16921333,9419333,120630667
2018,10,11530510,신도림동,4545698,8,3386388333,293139667,19024667,15228667,342883000,13878667,159850000,75386000,1736584667,137592333,592820667
2018,10,11500590,화곡본동,2502064,6,1533281667,487566333,21142333,20511667,260550667,141970667,77048000,58179667,75347667,50272000,340692667
2018,10,11470620,신정1동,5283746,9,1085779333,240227000,27338000,59951333,118959667,10758667,153827667,71990000,36977000,47268667,318481333
2018,10,11470610,신월6동,2881723,6,324751333,125359667,12397333,2084333,49573667,2836667,13709000,10889000,39499333,12675333,55727000
2018,10,11470590,신월4동,2763129,6,549121667,99961000,5312333,974000,69169000,46936333,37098000,38643000,7608333,14648000,228771667
2018,10,11440720,성산1동,2955418,6,1034768667,225939333,10083000,147794000,85554333,77572000,74135667,28583333,56023333,16481333,312602333
2018,10,11440690,망원1동,2810116,6,1381990000,321907333,22550667,17086333,116082333,9710333,29030667,74763333,85557667,45138333,660163000
